tidal.rotor_radius,tidal.device_rating,tidal.num_devices
10.0,2000.0,65.0
11.0,2000.0,65.0
12.0,2000.0,65.0
13.0,2000.0,65.0
14.0,2000.0,65.0
15.0,2000.0,65.0
16.0,2000.0,65.0
17.0,2000.0,65.0
18.0,2000.0,65.0
19.0,2000.0,65.0
20.0,2000.0,65.0
21.0,2000.0,65.0
22.0,2000.0,65.0
23.0,2000.0,65.0
24.0,2000.0,65.0
25.0,2000.0,65.0
26.0,2000.0,65.0
27.0,2000.0,65.0
28.0,2000.0,65.0
29.0,2000.0,65.0
30.0,2000.0,65.0
10.0,3000.0,65.0
11.0,3000.0,65.0
12.0,3000.0,65.0
13.0,3000.0,65.0
14.0,3000.0,65.0
15.0,3000.0,65.0
16.0,3000.0,65.0
17.0,3000.0,65.0
18.0,3000.0,65.0
19.0,3000.0,65.0
20.0,3000.0,65.0
21.0,3000.0,65.0
22.0,3000.0,65.0
23.0,3000.0,65.0
24.0,3000.0,65.0
25.0,3000.0,65.0
26.0,3000.0,65.0
27.0,3000.0,65.0
28.0,3000.0,65.0
29.0,3000.0,65.0
30.0,3000.0,65.0
10.0,4000.0,65.0
11.0,4000.0,65.0
12.0,4000.0,65.0
13.0,4000.0,65.0
14.0,4000.0,65.0
15.0,4000.0,65.0
16.0,4000.0,65.0
17.0,4000.0,65.0
18.0,4000.0,65.0
19.0,4000.0,65.0
20.0,4000.0,65.0
21.0,4000.0,65.0
22.0,4000.0,65.0
23.0,4000.0,65.0
24.0,4000.0,65.0
25.0,4000.0,65.0
26.0,4000.0,65.0
27.0,4000.0,65.0
28.0,4000.0,65.0
29.0,4000.0,65.0
30.0,4000.0,65.0
10.0,5000.0,65.0
11.0,5000.0,65.0
12.0,5000.0,65.0
13.0,5000.0,65.0
14.0,5000.0,65.0
15.0,5000.0,65.0
16.0,5000.0,65.0
17.0,5000.0,65.0
18.0,5000.0,65.0
19.0,5000.0,65.0
20.0,5000.0,65.0
21.0,5000.0,65.0
22.0,5000.0,65.0
23.0,5000.0,65.0
24.0,5000.0,65.0
25.0,5000.0,65.0
26.0,5000.0,65.0
27.0,5000.0,65.0
28.0,5000.0,65.0
29.0,5000.0,65.0
30.0,5000.0,65.0
10.0,6000.0,65.0
11.0,6000.0,65.0
12.0,6000.0,65.0
13.0,6000.0,65.0
14.0,6000.0,65.0
15.0,6000.0,65.0
16.0,6000.0,65.0
17.0,6000.0,65.0
18.0,6000.0,65.0
19.0,6000.0,65.0
20.0,6000.0,65.0
21.0,6000.0,65.0
22.0,6000.0,65.0
23.0,6000.0,65.0
24.0,6000.0,65.0
25.0,6000.0,65.0
26.0,6000.0,65.0
27.0,6000.0,65.0
28.0,6000.0,65.0
29.0,6000.0,65.0
30.0,6000.0,65.0
10.0,2000.0,35.0
11.0,2000.0,35.0
12.0,2000.0,35.0
13.0,2000.0,35.0
14.0,2000.0,35.0
15.0,2000.0,35.0
16.0,2000.0,35.0
17.0,2000.0,35.0
18.0,2000.0,35.0
19.0,2000.0,35.0
20.0,2000.0,35.0
21.0,2000.0,35.0
22.0,2000.0,35.0
23.0,2000.0,35.0
24.0,2000.0,35.0
25.0,2000.0,35.0
26.0,2000.0,35.0
27.0,2000.0,35.0
28.0,2000.0,35.0
29.0,2000.0,35.0
30.0,2000.0,35.0
10.0,3000.0,35.0
11.0,3000.0,35.0
12.0,3000.0,35.0
13.0,3000.0,35.0
14.0,3000.0,35.0
15.0,3000.0,35.0
16.0,3000.0,35.0
17.0,3000.0,35.0
18.0,3000.0,35.0
19.0,3000.0,35.0
20.0,3000.0,35.0
21.0,3000.0,35.0
22.0,3000.0,35.0
23.0,3000.0,35.0
24.0,3000.0,35.0
25.0,3000.0,35.0
26.0,3000.0,35.0
27.0,3000.0,35.0
28.0,3000.0,35.0
29.0,3000.0,35.0
30.0,3000.0,35.0
10.0,4000.0,35.0
11.0,4000.0,35.0
12.0,4000.0,35.0
13.0,4000.0,35.0
14.0,4000.0,35.0
15.0,4000.0,35.0
16.0,4000.0,35.0
17.0,4000.0,35.0
18.0,4000.0,35.0
19.0,4000.0,35.0
20.0,4000.0,35.0
21.0,4000.0,35.0
22.0,4000.0,35.0
23.0,4000.0,35.0
24.0,4000.0,35.0
25.0,4000.0,35.0
26.0,4000.0,35.0
27.0,4000.0,35.0
28.0,4000.0,35.0
29.0,4000.0,35.0
30.0,4000.0,35.0
10.0,5000.0,35.0
11.0,5000.0,35.0
12.0,5000.0,35.0
13.0,5000.0,35.0
14.0,5000.0,35.0
15.0,5000.0,35.0
16.0,5000.0,35.0
17.0,5000.0,35.0
18.0,5000.0,35.0
19.0,5000.0,35.0
20.0,5000.0,35.0
21.0,5000.0,35.0
22.0,5000.0,35.0
23.0,5000.0,35.0
24.0,5000.0,35.0
25.0,5000.0,35.0
26.0,5000.0,35.0
27.0,5000.0,35.0
28.0,5000.0,35.0
29.0,5000.0,35.0
30.0,5000.0,35.0
10.0,6000.0,35.0
11.0,6000.0,35.0
12.0,6000.0,35.0
13.0,6000.0,35.0
14.0,6000.0,35.0
15.0,6000.0,35.0
16.0,6000.0,35.0
17.0,6000.0,35.0
18.0,6000.0,35.0
19.0,6000.0,35.0
20.0,6000.0,35.0
21.0,6000.0,35.0
22.0,6000.0,35.0
23.0,6000.0,35.0
24.0,6000.0,35.0
25.0,6000.0,35.0
26.0,6000.0,35.0
27.0,6000.0,35.0
28.0,6000.0,35.0
29.0,6000.0,35.0
30.0,6000.0,35.0
