tidal.rotor_radius,tidal.device_rating,tidal.num_devices,wind.num_turbines
10.0,2000.0,35.0,15.0
11.0,2000.0,35.0,15.0
12.0,2000.0,35.0,15.0
13.0,2000.0,35.0,15.0
14.0,2000.0,35.0,15.0
15.0,2000.0,35.0,15.0
16.0,2000.0,35.0,15.0
17.0,2000.0,35.0,15.0
18.0,2000.0,35.0,15.0
19.0,2000.0,35.0,15.0
20.0,2000.0,35.0,15.0
21.0,2000.0,35.0,15.0
22.0,2000.0,35.0,15.0
23.0,2000.0,35.0,15.0
24.0,2000.0,35.0,15.0
25.0,2000.0,35.0,15.0
26.0,2000.0,35.0,15.0
27.0,2000.0,35.0,15.0
28.0,2000.0,35.0,15.0
29.0,2000.0,35.0,15.0
30.0,2000.0,35.0,15.0
10.0,4000.0,35.0,15.0
11.0,4000.0,35.0,15.0
12.0,4000.0,35.0,15.0
13.0,4000.0,35.0,15.0
14.0,4000.0,35.0,15.0
15.0,4000.0,35.0,15.0
16.0,4000.0,35.0,15.0
17.0,4000.0,35.0,15.0
18.0,4000.0,35.0,15.0
19.0,4000.0,35.0,15.0
20.0,4000.0,35.0,15.0
21.0,4000.0,35.0,15.0
22.0,4000.0,35.0,15.0
23.0,4000.0,35.0,15.0
24.0,4000.0,35.0,15.0
25.0,4000.0,35.0,15.0
26.0,4000.0,35.0,15.0
27.0,4000.0,35.0,15.0
28.0,4000.0,35.0,15.0
29.0,4000.0,35.0,15.0
30.0,4000.0,35.0,15.0
10.0,6000.0,35.0,15.0
11.0,6000.0,35.0,15.0
12.0,6000.0,35.0,15.0
13.0,6000.0,35.0,15.0
14.0,6000.0,35.0,15.0
15.0,6000.0,35.0,15.0
16.0,6000.0,35.0,15.0
17.0,6000.0,35.0,15.0
18.0,6000.0,35.0,15.0
19.0,6000.0,35.0,15.0
20.0,6000.0,35.0,15.0
21.0,6000.0,35.0,15.0
22.0,6000.0,35.0,15.0
23.0,6000.0,35.0,15.0
24.0,6000.0,35.0,15.0
25.0,6000.0,35.0,15.0
26.0,6000.0,35.0,15.0
27.0,6000.0,35.0,15.0
28.0,6000.0,35.0,15.0
29.0,6000.0,35.0,15.0
30.0,6000.0,35.0,15.0
10.0,2000.0,25.0,25.0
11.0,2000.0,25.0,25.0
12.0,2000.0,25.0,25.0
13.0,2000.0,25.0,25.0
14.0,2000.0,25.0,25.0
15.0,2000.0,25.0,25.0
16.0,2000.0,25.0,25.0
17.0,2000.0,25.0,25.0
18.0,2000.0,25.0,25.0
19.0,2000.0,25.0,25.0
20.0,2000.0,25.0,25.0
21.0,2000.0,25.0,25.0
22.0,2000.0,25.0,25.0
23.0,2000.0,25.0,25.0
24.0,2000.0,25.0,25.0
25.0,2000.0,25.0,25.0
26.0,2000.0,25.0,25.0
27.0,2000.0,25.0,25.0
28.0,2000.0,25.0,25.0
