tidal.rotor_radius,tidal.device_rating,tidal.num_devices,wind.num_turbines
10.0,3400.0,35.0,15.0
11.0,3400.0,35.0,15.0
12.0,3400.0,35.0,15.0
13.0,3400.0,35.0,15.0
14.0,3400.0,35.0,15.0
15.0,3400.0,35.0,15.0
16.0,3400.0,35.0,15.0
17.0,3400.0,35.0,15.0
18.0,3400.0,35.0,15.0
19.0,3400.0,35.0,15.0
20.0,3400.0,35.0,15.0
21.0,3400.0,35.0,15.0
22.0,3400.0,35.0,15.0
23.0,3400.0,35.0,15.0
24.0,3400.0,35.0,15.0
25.0,3400.0,35.0,15.0
26.0,3400.0,35.0,15.0
27.0,3400.0,35.0,15.0
28.0,3400.0,35.0,15.0
29.0,3400.0,35.0,15.0
30.0,3400.0,35.0,15.0
10.0,3400.0,25.0,25.0
11.0,3400.0,25.0,25.0
12.0,3400.0,25.0,25.0
13.0,3400.0,25.0,25.0
14.0,3400.0,25.0,25.0
15.0,3400.0,25.0,25.0
16.0,3400.0,25.0,25.0
17.0,3400.0,25.0,25.0
18.0,3400.0,25.0,25.0
19.0,3400.0,25.0,25.0
20.0,3400.0,25.0,25.0
21.0,3400.0,25.0,25.0
22.0,3400.0,25.0,25.0
23.0,3400.0,25.0,25.0
24.0,3400.0,25.0,25.0
25.0,3400.0,25.0,25.0
26.0,3400.0,25.0,25.0
27.0,3400.0,25.0,25.0
28.0,3400.0,25.0,25.0
29.0,3400.0,25.0,25.0
30.0,3400.0,25.0,25.0
10.0,3400.0,15.0,35.0
11.0,3400.0,15.0,35.0
12.0,3400.0,15.0,35.0
13.0,3400.0,15.0,35.0
14.0,3400.0,15.0,35.0
15.0,3400.0,15.0,35.0
16.0,3400.0,15.0,35.0
17.0,3400.0,15.0,35.0
18.0,3400.0,15.0,35.0
19.0,3400.0,15.0,35.0
20.0,3400.0,15.0,35.0
21.0,3400.0,15.0,35.0
22.0,3400.0,15.0,35.0
23.0,3400.0,15.0,35.0
24.0,3400.0,15.0,35.0
25.0,3400.0,15.0,35.0
26.0,3400.0,15.0,35.0
27.0,3400.0,15.0,35.0
28.0,3400.0,15.0,35.0
29.0,3400.0,15.0,35.0
30.0,3400.0,15.0,35.0
