SiteID,472003,Site Timezone,-9,Data Timezone,0,Longitude,-165.13208,Latitude,60.534363
Year,Month,Day,Hour,Minute,wind speed at 80m (m/s),wind direction at 80m (deg)
2018,1,1,0,30,18.990000000000002,160.91
2018,1,1,1,30,17.64,146.09
2018,1,1,2,30,17.240000000000002,128.86
2018,1,1,3,30,16.19,119.10000000000001
2018,1,1,4,30,16.84,123.03
2018,1,1,5,30,15.44,117.43
2018,1,1,6,30,14.61,115.07000000000001
2018,1,1,7,30,13.63,107.67
2018,1,1,8,30,12.68,100
2018,1,1,9,30,13.34,95.74000000000001
2018,1,1,10,30,14.030000000000001,100.37
2018,1,1,11,30,12.63,98.15
2018,1,1,12,30,13.09,104.75
2018,1,1,13,30,11.91,87.42
2018,1,1,14,30,11.82,84.01
2018,1,1,15,30,11.73,80.43
2018,1,1,16,30,11.39,78.9
2018,1,1,17,30,10.84,80.16
2018,1,1,18,30,11.09,76.34
2018,1,1,19,30,12.43,77.7
2018,1,1,20,30,10.9,78.96000000000001
2018,1,1,21,30,12.24,73.01
2018,1,1,22,30,12.290000000000001,69.83
2018,1,1,23,30,12.83,64.95
2018,1,2,0,30,14.620000000000001,61.9
2018,1,2,1,30,15.9,61.07
2018,1,2,2,30,15.38,54.7
2018,1,2,3,30,15.01,42.74
2018,1,2,4,30,14.26,33.37
2018,1,2,5,30,15.02,25.490000000000002
2018,1,2,6,30,16.740000000000002,22.61
2018,1,2,7,30,17.18,16.93
2018,1,2,8,30,17.82,14.56
2018,1,2,9,30,15.52,9.35
2018,1,2,10,30,13.86,7.5600000000000005
2018,1,2,11,30,12.23,357.97
2018,1,2,12,30,13.43,357.63
2018,1,2,13,30,14.31,4.2700000000000005
2018,1,2,14,30,12.33,4.8100000000000005
2018,1,2,15,30,13.46,3.11
2018,1,2,16,30,14.790000000000001,3.31
2018,1,2,17,30,13.26,351.89
2018,1,2,18,30,14.39,356.16
2018,1,2,19,30,16,348.67
2018,1,2,20,30,15.55,340.32
2018,1,2,21,30,15.280000000000001,342.43
2018,1,2,22,30,14.450000000000001,341.02
2018,1,2,23,30,13.63,341.33
2018,1,3,0,30,13.530000000000001,340.8
2018,1,3,1,30,9.16,346.94
2018,1,3,2,30,11.25,340.74
2018,1,3,3,30,11.27,337.7
2018,1,3,4,30,12.52,333.18
2018,1,3,5,30,12.17,335.09000000000003
2018,1,3,6,30,11.48,335.72
2018,1,3,7,30,11.96,330.08
2018,1,3,8,30,12.75,335.91
2018,1,3,9,30,13.1,336.19
2018,1,3,10,30,10.72,331.19
2018,1,3,11,30,10.33,338.3
2018,1,3,12,30,11.34,331.90000000000003
