SiteID,948526,Site Timezone,-9,Data Timezone,0,Longitude,-151.70409,Latitude,60.70251
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2018,1,1,0,0,59.24,16.43
2018,1,1,1,0,58.27,18.27
2018,1,1,2,0,61.050000000000004,21.43
2018,1,1,3,0,51.51,18.400000000000002
2018,1,1,4,0,45.300000000000004,17.94
2018,1,1,5,0,40.77,16.66
2018,1,1,6,0,31.77,15.69
2018,1,1,7,0,38.53,15.32
2018,1,1,8,0,34.49,15.75
2018,1,1,9,0,27.98,14.67
2018,1,1,10,0,26.54,14
2018,1,1,11,0,23.94,13.36
2018,1,1,12,0,22.94,12.07
2018,1,1,13,0,38.03,10.4
2018,1,1,14,0,26.43,9.93
2018,1,1,15,0,36.2,8.84
2018,1,1,16,0,57.27,4.8
2018,1,1,17,0,38.28,6.4
2018,1,1,18,0,43.19,8.31
2018,1,1,19,0,47.36,10
2018,1,1,20,0,44.46,15.34
2018,1,1,21,0,44.57,19.42
2018,1,1,22,0,42.04,19.89
2018,1,1,23,0,38.14,20.88
2018,1,2,0,0,30.22,21.22
2018,1,2,1,0,20.8,22.1
2018,1,2,2,0,31.04,22.580000000000002
2018,1,2,3,0,24.71,23.150000000000002
2018,1,2,4,0,48.370000000000005,26.11
2018,1,2,5,0,45.33,21.68
2018,1,2,6,0,45.85,20.62
2018,1,2,7,0,58.410000000000004,14.65
2018,1,2,8,0,90.09,10.99
2018,1,2,9,0,115.96000000000001,7.66
2018,1,2,10,0,114.74000000000001,9.15
2018,1,2,11,0,129.05,2.09
2018,1,2,12,0,130.33,9.32
2018,1,2,13,0,142.41,11.33
2018,1,2,14,0,166.26,22.84
2018,1,2,15,0,173.61,22.37
2018,1,2,16,0,172.14000000000001,23.150000000000002
2018,1,2,17,0,170.93,23.62
2018,1,2,18,0,160.20000000000002,20.61
2018,1,2,19,0,154.41,18.25
2018,1,2,20,0,147.67000000000002,14.91
2018,1,2,21,0,156.59,14.69
2018,1,2,22,0,172.23,18.43
2018,1,2,23,0,163.62,13.93
2018,1,3,0,0,171.74,16.8
2018,1,3,1,0,167.93,14.950000000000001
2018,1,3,2,0,168.43,13.09
2018,1,3,3,0,166.12,14.27
2018,1,3,4,0,165.15,8.41
2018,1,3,5,0,145.56,8.77
2018,1,3,6,0,158.61,9.98
2018,1,3,7,0,168.8,12.17
2018,1,3,8,0,165.35,9.09
2018,1,3,9,0,153.99,8.11
2018,1,3,10,0,163.51,8.56
2018,1,3,11,0,173.92000000000002,10.55
2018,1,3,12,0,196.71,11.8
2018,1,3,13,0,187.94,13.38
2018,1,3,14,0,192.63,10.98
2018,1,3,15,0,202.92000000000002,10.200000000000001
2018,1,3,16,0,186.92000000000002,7.32
2018,1,3,17,0,196.11,10.17
2018,1,3,18,0,203.78,8.38
2018,1,3,19,0,209.66,15.49
2018,1,3,20,0,209.52,15.790000000000001
2018,1,3,21,0,206.58,13.86
2018,1,3,22,0,214.39000000000001,15.63
