SiteID,987358,Site Timezone,-9,Data Timezone,0,Longitude,-150.24704,Latitude,61.13556
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2018,1,1,0,0,59.1,8.92
2018,1,1,1,0,6.53,9.58
2018,1,1,2,0,11.700000000000001,8.22
2018,1,1,3,0,3.35,8.83
2018,1,1,4,0,358.53000000000003,9.76
2018,1,1,5,0,3.22,9.43
2018,1,1,6,0,0.58,10.4
2018,1,1,7,0,1.19,10.85
2018,1,1,8,0,3.42,11.86
2018,1,1,9,0,2.89,11.24
2018,1,1,10,0,5.61,9.89
2018,1,1,11,0,8.6,7.62
2018,1,1,12,0,54.89,3.7
2018,1,1,13,0,97.31,4.84
2018,1,1,14,0,88.92,5.67
2018,1,1,15,0,98.39,9.08
2018,1,1,16,0,88.04,5.18
2018,1,1,17,0,36.87,2.95
2018,1,1,18,0,0.81,5.26
2018,1,1,19,0,357.58,8.31
2018,1,1,20,0,4.87,10.26
2018,1,1,21,0,1.74,9.39
2018,1,1,22,0,358.96,10.83
2018,1,1,23,0,0.92,10.93
2018,1,2,0,0,358.28000000000003,11.39
2018,1,2,1,0,2.23,11.1
2018,1,2,2,0,21.46,8
2018,1,2,3,0,24.76,9.82
2018,1,2,4,0,31.98,8.3
2018,1,2,5,0,99.91,16.55
2018,1,2,6,0,90.78,11.5
2018,1,2,7,0,113.8,20.91
2018,1,2,8,0,121.61,25.59
2018,1,2,9,0,125.14,27.59
2018,1,2,10,0,124.05,31.57
2018,1,2,11,0,127.2,32.46
2018,1,2,12,0,124.54,32.13
2018,1,2,13,0,124.43,30.45
2018,1,2,14,0,124.5,27.71
2018,1,2,15,0,126.10000000000001,27.17
2018,1,2,16,0,126.39,30.01
2018,1,2,17,0,126.02,29.91
2018,1,2,18,0,131.32,26.96
2018,1,2,19,0,128.53,26.16
2018,1,2,20,0,139.46,13.27
2018,1,2,21,0,137.92000000000002,20.080000000000002
2018,1,2,22,0,133.28,21.990000000000002
2018,1,2,23,0,131.97,21.42
2018,1,3,0,0,130.89000000000001,19.71
2018,1,3,1,0,130.82,12.69
2018,1,3,2,0,127.84,19.93
2018,1,3,3,0,132.97,19.56
2018,1,3,4,0,129.97,19.07
2018,1,3,5,0,130.96,17.31
2018,1,3,6,0,130.68,14.66
2018,1,3,7,0,132.07,10.51
2018,1,3,8,0,133.05,11.18
2018,1,3,9,0,137.8,10
2018,1,3,10,0,148.53,10.23
2018,1,3,11,0,140.46,8.86
2018,1,3,12,0,201.17000000000002,9.6
2018,1,3,13,0,191.32,9.83
2018,1,3,14,0,186.70000000000002,9.76
2018,1,3,15,0,176.77,8.72
2018,1,3,16,0,176.45000000000002,11.23
2018,1,3,17,0,187.48,10.67
2018,1,3,18,0,157.49,8.120000000000001
2018,1,3,19,0,170.65,10.48
2018,1,3,20,0,181.33,11.73
2018,1,3,21,0,173.39000000000001,12.21
2018,1,3,22,0,182.27,12.27
2018,1,3,23,0,191.47,13.3
2018,1,4,0,0,180.93,11.97
2018,1,4,1,0,191.95000000000002,13.1
2018,1,4,2,0,190.01,12.75
2018,1,4,3,0,192.4,14.31
2018,1,4,4,0,194.52,13.76
2018,1,4,5,0,187.68,12.72
2018,1,4,6,0,187.3,12.74
2018,1,4,7,0,194.07,13.74
2018,1,4,8,0,202.75,12.76
2018,1,4,9,0,178.63,9.64
2018,1,4,10,0,188.45000000000002,9.59
